id,value
flare,
flare.5.nigga,656
flare.3.yea,754
flare.4.okay,737
flare.3.man,558
flare.4.i'll,520
flare.2.oh,383
flare.3.i'm,371
flare.3.get,362
flare.4.good,335
flare.5.don't,318
flare.3.got,310
flare.3.one,283
flare.6.that's,265
flare.4.like,248
flare.2.go,242
flare.4.dude,242
flare.4.time,228
flare.4.haha,217
flare.4.it's,204
flare.3.bro,196
flare.4.know,193
flare.4.make,191
flare.3.idk,186
flare.4.shit,183
flare.5.gonna,182
flare.5.think,180
flare.4.home,166
flare.2.ok,162
flare.4.come,161
flare.4.take,160
flare.3.eat,156
flare.4.sure,150
flare.3.yes,139
flare.4.need,139
flare.4.much,138
flare.4.back,137
flare.5.would,131
flare.4.yeaa,129
flare.6.flight,129
flare.5.class,121
flare.4.call,119
flare.4.damn,116
flare.3.see,115
flare.5.going,114
flare.5.check,114
flare.4.man.,110
flare.5.still,108
flare.4.well,106
flare.3.let,101
flare.4.ðŸ˜‚,101
flare.4.want,100
flare.6.coming,100
flare.6.thanks,99
flare.5.cause,97
flare.4.said,97
flare.4.nice,97
flare.5.right,94
flare.6.really,94
flare.5.leave,90
flare.4.cool,90
flare.5.sorry,89
flare.5.can't,88
flare.3.ooh,88
flare.8.tomorrow,87
flare.5.wanna,86
flare.3.try,85
flare.4.work,85
flare.6.didn't,85
flare.6.though,84
flare.5.maybe,83
flare.7.alright,82
flare.4.fine,81
flare.3.hey,78
flare.4.mean,77
flare.5.today,77
flare.3.bad,76
flare.4.last,76
flare.3.day,75
flare.3.job,75
flare.3.lol,74
flare.4.even,74
flare.4.book,73
flare.5.india,72
flare.4.food,72
flare.6.right?,71
flare.4.late,71
flare.9.roshantha,70
flare.4.till,70
flare.4.next,68
flare.4.tell,68
flare.3.phx,67
flare.3.lax,67
flare.5.guess,66
flare.4.also,66
flare.4.find,65
flare.4.you?,64
flare.5.might,64
flare.9.something,64
flare.2.ik,63
flare.6.people,61
flare.3.say,61
flare.3.ask,61
flare.4.give,61
flare.3.way,60
flare.5.let's,59
flare.4.left,59
flare.4.done,59
flare.6.better,58
flare.5.first,58
flare.5.stuff,57
flare.4.yeah,57
flare.4.keep,57
flare.4.true,56
flare.3.nah,55
flare.3.it?,54
flare.4.rice,54
flare.3.put,54
flare.6.you're,54
flare.4.wait,54
flare.4.soon,53
flare.4.feel,53
flare.4.many,52
flare.2.us,52
flare.4.fuck,52
flare.6.around,51
flare.4.told,51
flare.4.bags,51
flare.7.chicago,51
flare.7.thought,51
flare.7.leaving,51
flare.4.look,50
flare.4.help,49
flare.4.talk,49
flare.6.dinner,49
flare.3.saw,48
flare.5.email,48
flare.5.price,48
flare.5.won't,48
flare.5.okay.,48
flare.3.yet,48
flare.5.great,47
flare.4.dang,47
flare.6.mumbai,47
flare.6.what's,46
flare.5.final,46
flare.2.10,46
flare.7.morning,46
flare.5.legit,46
flare.5.later,46
flare.4.send,45
flare.3.abt,45
flare.3.min,44
flare.4.somu,44
flare.5.we'll,43
flare.6.change,43
flare.5.worry,43
flare.4.he's,43
flare.8.anything,42
flare.4.made,42
flare.2.rn,41
flare.9.southwest,41
flare.4.meet,41
flare.3.pay,40
flare.3.two,40
flare.6.taking,40
flare.7.tonight,39
flare.8.thinking,39
flare.5.thank,38
flare.5.lunch,38
flare.5.home?,38
flare.4.man,,37
flare.3.air,37
flare.5.noble,37
flare.3.lot,37
flare.4.hell,37
flare.4.bike,36
flare.3.wow,36
flare.6.messed,36
flare.7.nothing,36
flare.5.kinda,36
flare.4.life,35
flare.5.bring,35
flare.3.new,35
flare.3.bag,35
flare.4.long,35
flare.3.use,35
flare.7.doesn't,35
flare.4.went,34
flare.4.ðŸ˜•,34
flare.7.chapati,34
flare.3.big,34
flare.6.school,34
flare.4.free,34
flare.4.open,33
flare.5.thing,33
flare.7.cheaper,33
flare.5.phone,33
flare.4.exam,33
flare.7.awesome,32
flare.4.hope,32
flare.3.cos,32
flare.5.cheap,32
flare.8.semester,32
flare.4.city,31
flare.9.interview,31
flare.6.friend,31
flare.4.hard,31
flare.6.almost,31
flare.6.friday,31
flare.7.getting,31
flare.4.man!,30
flare.5.could,30
flare.7.applied,30
flare.5.early,30
flare.5.bread,30
flare.3.cse,30
flare.9.expensive,30
flare.5.place,30
flare.6.always,30
flare.6.return,30
flare.6.number,30
flare.8.planning,30
flare.4.i've,30
flare.4.best,29
flare.7.working,29
flare.4.ðŸ˜”,29
flare.4.sent,29
flare.4.stay,29
flare.4.mine,29
flare.4.guys,29
flare.6.sounds,29
flare.7.already,29
flare.5.delhi,29
flare.8.thursday,29
flare.4.hold,28
flare.5.happy,28
flare.5.hours,28
flare.3.lab,28
flare.5.night,28
flare.3.guy,28
flare.5.since,28
flare.6.pretty,28
flare.4.able,28
flare.3.buy,28
flare.4.gave,28
flare.10.everything,28
flare.8.rightnow,27
flare.5.okay,,27
flare.8.remember,27
flare.5.never,27
flare.4.lets,27
flare.6.figure,27
flare.6.saying,26
flare.3.it.,26
flare.4.week,26
flare.8.schedule,26
flare.6.forgot,26
flare.7.airport,26
flare.7.classes,26
flare.4.says,26
flare.5.weird,26
flare.3.iee,26
flare.6.aditya,26
flare.4.card,25
flare.4.care,25
flare.8.couldn't,25
flare.6.nagpur,25
flare.4.used,25
flare.6.today?,25
flare.6.eating,25
flare.4.dint,25
flare.6.things,24
flare.5.found,24
flare.4.move,24
flare.5.okay!,24
flare.6.enough,24
flare.5.money,24
flare.7.really?,24
flare.4.eat?,24
flare.6.wanted,24
flare.5.china,23
flare.8.rejected,23
flare.4.yea,,23
flare.4.you.,23
flare.2.yo,23
flare.4.else,23
flare.3.sam,23
flare.6.little,23
flare.2.11,23
flare.2.12,23
flare.4.hour,23
flare.3.bit,23
flare.7.dinner?,23
flare.4.text,23
flare.2.mu,23
flare.5.apply,23
flare.3.hmm,23
flare.3.ate,22
flare.4.busy,22
flare.5.asked,22
flare.3.nvm,22
flare.4.easy,22
flare.7.checked,22
flare.5.start,22
flare.7.haven't,22
flare.5.isn't,22
flare.5.ready,22
flare.7.flights,22
flare.3.gym,22
flare.2.15,22
flare.4.paid,22
flare.3.fun,22
flare.8.saturday,22
flare.4.took,22
flare.4.rent,22
flare.6.monday,22
flare.4.ones,22
flare.4.came,21
flare.3.wtf,21
flare.3.mdw,21
flare.6.you'll,21
flare.7.there's,21
flare.5.yeaaa,21
flare.4.drop,21
flare.7.looking,21
flare.4.stop,21
flare.4.deal,21
flare.5.super,21
flare.4.milk,21
flare.5.dates,21
flare.2.20,21
flare.7.safeway,21
flare.6.random,21
flare.6.called,21
